index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
0,Dick Johnson Is Dead,Movie,2020,Documentaries,Netflix,2021-09-25,tt11394180,7.4,"7,204",N/A,N/A
1,My Little Pony: A New Generation,Movie,2021,Children & Family Movies,Netflix,2021-09-24,tt10101702,6.8,"4,475",N/A,N/A
2,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,Crime TV Shows,Netflix,2021-09-24,,,,,
3,The Starling,Movie,2021,Comedies,Netflix,2021-09-24,tt5164438,6.4,"15,193",N/A,N/A
4,The Great British Baking Show,TV Show,2021,British TV Shows,Netflix,2021-09-24,tt1877368,8.6,"12,807",,
5,Sankofa,Movie,1993,Dramas,Netflix,2021-09-24,tt0108041,7.0,784,"$2,198,984",N/A
6,Blood & Water,TV Show,2021,International TV Shows,Netflix,2021-09-24,tt9839146,6.7,"4,132",,
7,Midnight Mass,TV Show,2021,TV Dramas,Netflix,2021-09-24,tt10574558,7.7,"143,786",,
8,Ganglands,TV Show,2021,Crime TV Shows,Netflix,2021-09-24,tt13278100,7.2,"4,487",,
9,Kota Factory,TV Show,2021,International TV Shows,Netflix,2021-09-24,tt9432978,9.0,"80,073",,
10,Jailbirds New Orleans,TV Show,2021,Docuseries,Netflix,2021-09-24,tt15320436,6.6,299,,
11,Je Suis Karl,Movie,2021,Dramas,Netflix,2021-09-23,tt9205538,5.5,"1,559",N/A,N/A
12,Bangkok Breaking,TV Show,2021,Crime TV Shows,Netflix,2021-09-23,tt14202282,5.8,359,,
13,Confessions of an Invisible Girl,Movie,2021,Children & Family Movies,Netflix,2021-09-22,tt15204288,5.3,"1,337",N/A,N/A
14,Crime Stories: India Detectives,TV Show,2021,British TV Shows,Netflix,2021-09-22,tt14178956,7.0,"1,161",,
15,Dear White People,TV Show,2021,TV Comedies,Netflix,2021-09-22,tt2235108,6.2,"26,461","$4,404,154",N/A
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,Documentaries,Netflix,2021-09-22,,,,,
17,Falsa identidad,TV Show,2020,Crime TV Shows,Netflix,2021-09-22,tt14480020,N/A,N/A,N/A,N/A
18,Intrusion,Movie,2021,Thrillers,Netflix,2021-09-22,tt5563324,5.3,"20,987",N/A,N/A
19,Jaguar,TV Show,2021,International TV Shows,Netflix,2021-09-22,tt11698590,5.9,"2,199",,
20,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,Crime TV Shows,Netflix,2021-09-22,tt15287836,6.3,"4,784",,
21,Resurrection: Ertugrul,TV Show,2018,International TV Shows,Netflix,2021-09-22,,,,,
22,Jeans,Movie,1998,Comedies,Netflix,2021-09-21,tt0151121,6.4,"3,927",N/A,N/A
23,Minsara Kanavu,Movie,1997,Comedies,Netflix,2021-09-21,,,,,
24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,Children & Family Movies,Netflix,2021-09-21,tt15296598,N/A,55,N/A,N/A
25,Avvai Shanmughi,Movie,1996,Comedies,Netflix,2021-09-21,,,,,
26,Love on the Spectrum,TV Show,2021,Docuseries,Netflix,2021-09-21,tt11904786,8.6,"7,472",,
27,Grown Ups,Movie,2010,Comedies,Netflix,2021-09-20,tt1375670,6.0,"273,980","$162,001,186",N/A
28,Dark Skies,Movie,2013,Horror Movies,Netflix,2021-09-19,tt2387433,6.3,"79,768","$17,418,667",N/A
29,Paranoia,Movie,2013,Thrillers,Netflix,2021-09-19,tt1413495,5.6,"39,253","$7,388,654",N/A
30,Ankahi Kahaniya,Movie,2021,Dramas,Netflix,2021-09-17,tt15250998,5.6,"1,015",N/A,N/A
31,Chicago Party Aunt,TV Show,2021,TV Comedies,Netflix,2021-09-17,tt15125616,5.6,"2,244",,
32,Sex Education,TV Show,2020,British TV Shows,Netflix,2021-09-17,tt7767422,8.3,"348,593",,
