index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
0,Dick Johnson Is Dead,Movie,2020,Documentaries,Netflix,2021-09-25,,,,,
1,My Little Pony: A New Generation,Movie,2021,Children & Family Movies,Netflix,2021-09-24,,,,,
2,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,Crime TV Shows,Netflix,2021-09-24,,,,,
3,The Starling,Movie,2021,Comedies,Netflix,2021-09-24,,,,,
4,The Great British Baking Show,TV Show,2021,British TV Shows,Netflix,2021-09-24,,,,,
5,Sankofa,Movie,1993,Dramas,Netflix,2021-09-24,,,,,
6,Blood & Water,TV Show,2021,International TV Shows,Netflix,2021-09-24,,,,,
7,Midnight Mass,TV Show,2021,TV Dramas,Netflix,2021-09-24,,,,,
8,Ganglands,TV Show,2021,Crime TV Shows,Netflix,2021-09-24,,,,,
9,Kota Factory,TV Show,2021,International TV Shows,Netflix,2021-09-24,,,,,
10,Jailbirds New Orleans,TV Show,2021,Docuseries,Netflix,2021-09-24,,,,,
11,Je Suis Karl,Movie,2021,Dramas,Netflix,2021-09-23,,,,,
12,Bangkok Breaking,TV Show,2021,Crime TV Shows,Netflix,2021-09-23,,,,,
13,Confessions of an Invisible Girl,Movie,2021,Children & Family Movies,Netflix,2021-09-22,,,,,
14,Crime Stories: India Detectives,TV Show,2021,British TV Shows,Netflix,2021-09-22,,,,,
15,Dear White People,TV Show,2021,TV Comedies,Netflix,2021-09-22,,,,,
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,Documentaries,Netflix,2021-09-22,,,,,
17,Falsa identidad,TV Show,2020,Crime TV Shows,Netflix,2021-09-22,,,,,
18,Intrusion,Movie,2021,Thrillers,Netflix,2021-09-22,,,,,
19,Jaguar,TV Show,2021,International TV Shows,Netflix,2021-09-22,,,,,
20,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,Crime TV Shows,Netflix,2021-09-22,,,,,
21,Resurrection: Ertugrul,TV Show,2018,International TV Shows,Netflix,2021-09-22,,,,,
22,Jeans,Movie,1998,Comedies,Netflix,2021-09-21,,,,,
23,Minsara Kanavu,Movie,1997,Comedies,Netflix,2021-09-21,,,,,
24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,Children & Family Movies,Netflix,2021-09-21,,,,,
25,Avvai Shanmughi,Movie,1996,Comedies,Netflix,2021-09-21,,,,,
26,Love on the Spectrum,TV Show,2021,Docuseries,Netflix,2021-09-21,,,,,
27,Grown Ups,Movie,2010,Comedies,Netflix,2021-09-20,,,,,
28,Dark Skies,Movie,2013,Horror Movies,Netflix,2021-09-19,,,,,
29,Paranoia,Movie,2013,Thrillers,Netflix,2021-09-19,,,,,
30,Ankahi Kahaniya,Movie,2021,Dramas,Netflix,2021-09-17,,,,,
31,Chicago Party Aunt,TV Show,2021,TV Comedies,Netflix,2021-09-17,,,,,
32,Sex Education,TV Show,2020,British TV Shows,Netflix,2021-09-17,,,,,
33,Tayo and Little Wizards,TV Show,2020,Kids' TV,Netflix,2021-09-17,,,,,
34,The Father Who Moves Mountains,Movie,2021,Dramas,Netflix,2021-09-17,,,,,
35,The Stronghold,Movie,2021,Action & Adventure,Netflix,2021-09-17,,,,,
36,Squid Game,TV Show,2021,International TV Shows,Netflix,2021-09-17,,,,,
37,Jaws 3,Movie,1983,Action & Adventure,Netflix,2021-09-16,,,,,
38,Training Day,Movie,2001,Dramas,Netflix,2021-09-16,,,,,
39,The Smart Money Woman,TV Show,2020,International TV Shows,Netflix,2021-09-16,,,,,
40,Safe House,Movie,2012,Action & Adventure,Netflix,2021-09-16,,,,,
41,My Heroes Were Cowboys,Movie,2021,Documentaries,Netflix,2021-09-16,,,,,
42,Jaws: The Revenge,Movie,1987,Action & Adventure,Netflix,2021-09-16,,,,,
43,Jaws 2,Movie,1978,Dramas,Netflix,2021-09-16,,,,,
44,Jaws,Movie,1975,Action & Adventure,Netflix,2021-09-16,,,,,
45,Angry Birds,TV Show,2018,Kids' TV,Netflix,2021-09-16,,,,,
46,He-Man and the Masters of the Universe,TV Show,2021,Kids' TV,Netflix,2021-09-16,,,,,
47,Chhota Bheem,TV Show,2021,Kids' TV,Netflix,2021-09-16,,,,,
48,Birth of the Dragon,Movie,2017,Action & Adventure,Netflix,2021-09-16,,,,,
49,Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,Action & Adventure,Netflix,2021-09-15,,,,,
50,Too Hot To Handle: Latino,TV Show,2021,International TV Shows,Netflix,2021-09-15,,,,,
51,Stories by Rabindranath Tagore,TV Show,2015,International TV Shows,Netflix,2021-09-15,,,,,
52,Schumacher,Movie,2021,Documentaries,Netflix,2021-09-15,,,,,
53,Saved by the Bell,TV Show,1994,Kids' TV,Netflix,2021-09-15,,,,,
54,Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,Docuseries,Netflix,2021-09-15,,,,,
